D:\P\self_driving_car\CNN_approach\Data\IMG\center_2023_03_25_10_43_46_018.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\left_2023_03_25_10_43_46_018.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\right_2023_03_25_10_43_46_018.jpg,0,1,0,1.054493
D:\P\self_driving_car\CNN_approach\Data\IMG\center_2023_03_25_10_43_46_090.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\left_2023_03_25_10_43_46_090.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\right_2023_03_25_10_43_46_090.jpg,0,1,0,1.8524
D:\P\self_driving_car\CNN_approach\Data\IMG\center_2023_03_25_10_43_46_155.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\left_2023_03_25_10_43_46_155.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\right_2023_03_25_10_43_46_155.jpg,0,1,0,2.411033
D:\P\self_driving_car\CNN_approach\Data\IMG\center_2023_03_25_10_43_46_229.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\left_2023_03_25_10_43_46_229.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\right_2023_03_25_10_43_46_229.jpg,0,1,0,3.223241
D:\P\self_driving_car\CNN_approach\Data\IMG\center_2023_03_25_10_43_46_301.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\left_2023_03_25_10_43_46_301.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\right_2023_03_25_10_43_46_301.jpg,0,1,0,3.871612
D:\P\self_driving_car\CNN_approach\Data\IMG\center_2023_03_25_10_43_46_370.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\left_2023_03_25_10_43_46_370.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\right_2023_03_25_10_43_46_370.jpg,0,1,0,4.672606
D:\P\self_driving_car\CNN_approach\Data\IMG\center_2023_03_25_10_43_46_442.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\left_2023_03_25_10_43_46_442.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\right_2023_03_25_10_43_46_442.jpg,0,1,0,5.09523
D:\P\self_driving_car\CNN_approach\Data\IMG\center_2023_03_25_10_43_46_513.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\left_2023_03_25_10_43_46_513.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\right_2023_03_25_10_43_46_513.jpg,0,1,0,6.423724
D:\P\self_driving_car\CNN_approach\Data\IMG\center_2023_03_25_10_43_46_582.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\left_2023_03_25_10_43_46_582.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\right_2023_03_25_10_43_46_582.jpg,0,1,0,7.093454
D:\P\self_driving_car\CNN_approach\Data\IMG\center_2023_03_25_10_43_46_652.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\left_2023_03_25_10_43_46_652.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\right_2023_03_25_10_43_46_652.jpg,-0.1,1,0,7.99449
D:\P\self_driving_car\CNN_approach\Data\IMG\center_2023_03_25_10_43_46_725.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\left_2023_03_25_10_43_46_725.jpg,D:\P\self_driving_car\CNN_approach\Data\IMG\right_2023_03_25_10_43_46_725.jpg,-0.25,1,0,8.654454
